accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,dataset,task,scheme,fold,model,n_train,n_test,excluded_test_frac,n_classes_seen,fit_seconds
0.6186,0.5358,0.8009,0.5358,0.4447,0.8652,0.8229,cicids2017,binary,temporal,2,LightGBM,1502844,497156,0.0,2,37.0
0.7037,0.6394,0.832,0.6394,0.6176,0.6861,0.6442,cicids2017,binary,temporal,2,RandomForest,1502844,497156,0.0,2,243.8
0.5893,0.5001,0.5688,0.5001,0.3713,0.8696,0.7937,cicids2017,binary,group,1,XGBoost,1502844,497156,0.0,2,40.8
0.6186,0.5358,0.8009,0.5358,0.4447,0.8652,0.8229,cicids2017,binary,group,1,LightGBM,1502844,497156,0.0,2,36.7
0.7037,0.6394,0.832,0.6394,0.6176,0.6861,0.6442,cicids2017,binary,group,1,RandomForest,1502844,497156,0.0,2,241.4
0.645,0.5135,0.8168,0.5135,0.4172,0.9607,0.9319,cicids2017,binary,group,2,XGBoost,1510874,489126,0.0,2,40.0
0.66,0.5341,0.8247,0.5341,0.4584,0.9457,0.9058,cicids2017,binary,group,2,LightGBM,1510874,489126,0.0,2,34.9
0.637,0.5025,0.8112,0.5025,0.394,0.9542,0.9271,cicids2017,binary,group,2,RandomForest,1510874,489126,0.0,2,185.3
0.9994,0.9994,0.5,0.4997,0.4999,,0.0,cicids2017,binary,group,3,XGBoost,1625526,374474,0.0,2,42.2
0.9994,0.9994,0.5,0.4997,0.4999,,0.0,cicids2017,binary,group,3,LightGBM,1625526,374474,0.0,2,36.8
0.9994,0.9994,0.5,0.4997,0.4999,,0.0,cicids2017,binary,group,3,RandomForest,1625526,374474,0.0,2,230.4
0.8613,0.8283,0.5131,0.8283,0.489,0.8548,0.0175,cicids2017,binary,group,4,XGBoost,1675841,324159,0.0,2,44.7
0.8612,0.8368,0.5134,0.8368,0.4895,0.816,0.0191,cicids2017,binary,group,4,LightGBM,1675841,324159,0.0,2,37.0
0.9919,0.809,0.6613,0.809,0.7115,0.9567,0.2852,cicids2017,binary,group,4,RandomForest,1675841,324159,0.0,2,254.8
0.9675,0.4998,0.497,0.4998,0.493,0.899,0.1321,cicids2017,binary,group,5,XGBoost,1684915,315085,0.0,2,43.7
0.9676,0.5002,0.5034,0.5002,0.4936,0.894,0.142,cicids2017,binary,group,5,LightGBM,1684915,315085,0.0,2,42.0
0.964,0.4975,0.4848,0.4975,0.4909,0.755,0.0787,cicids2017,binary,group,5,RandomForest,1684915,315085,0.0,2,259.9
0.9986,0.8791,0.9294,0.8791,0.8974,0.9999,,cicids2017,multi,stratified,1,XGBoost,1600000,400000,0.0,15,641.3
0.9028,0.2017,0.2361,0.2017,0.2151,0.5888,,cicids2017,multi,stratified,1,LightGBM,1600000,400000,0.0,15,245.1
0.9975,0.798,0.8502,0.798,0.8179,0.9996,,cicids2017,multi,stratified,1,RandomForest,1600000,400000,0.0,15,273.8
0.9987,0.8882,0.9305,0.8882,0.9045,1.0,,cicids2017,multi,stratified,2,XGBoost,1600000,400000,0.0,15,642.6
0.8069,0.1593,0.1728,0.1593,0.1531,0.5611,,cicids2017,multi,stratified,2,LightGBM,1600000,400000,0.0,15,249.2
0.9975,0.8077,0.8547,0.8077,0.8268,0.9997,,cicids2017,multi,stratified,2,RandomForest,1600000,400000,0.0,15,276.3
0.9986,0.7616,0.7967,0.7616,0.7742,1.0,,cicids2017,multi,stratified,3,XGBoost,1600000,400000,0.0,15,632.0
0.8214,0.1309,0.1953,0.1309,0.1072,0.5477,,cicids2017,multi,stratified,3,LightGBM,1600000,400000,0.0,15,233.5
0.9976,0.7072,0.7916,0.7072,0.7273,0.9994,,cicids2017,multi,stratified,3,RandomForest,1600000,400000,0.0,15,274.5
0.9987,0.836,0.9401,0.836,0.8599,0.9924,,cicids2017,multi,stratified,4,XGBoost,1600000,400000,0.0,15,630.4
0.9551,0.3423,0.3004,0.3423,0.3099,0.6682,,cicids2017,multi,stratified,4,LightGBM,1600000,400000,0.0,15,257.4
0.9976,0.7489,0.862,0.7489,0.7813,0.9829,,cicids2017,multi,stratified,4,RandomForest,1600000,400000,0.0,15,276.7
0.9986,0.8484,0.9262,0.8484,0.8716,0.9996,,cicids2017,multi,stratified,5,XGBoost,1600000,400000,0.0,15,624.4
0.8295,0.1983,0.2379,0.1983,0.2012,0.5827,,cicids2017,multi,stratified,5,LightGBM,1600000,400000,0.0,15,228.4
0.9976,0.7797,0.8649,0.7797,0.8011,0.9811,,cicids2017,multi,stratified,5,RandomForest,1600000,400000,0.0,15,273.4
