,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
flow_iat_mean,0.03924585804343224,0.10626073479652405,0.046850652992725374,0.40220644474029543,0.18225145637989043,0.6823342561721801,0.21183426380157472,0.0931033119559288,0.0,0.1323921985924244,0.11748687326908111,0.2305793583393097,0.09026817679405212,0.6491473019123077,0.06845075190067292
flow_iat_std,0.017316851206123828,0.05245456248521805,0.28197343945503234,0.06244399473071098,0.06284884661436081,0.3022810101509094,1.5851690769195557,0.0669375129044056,0.0,0.39041479825973513,0.00983825153671205,0.028963594511151314,0.1325347863137722,0.14776283428072928,0.07203285247087479
flow_iat_max,0.042607398703694344,1.1065019845962525,0.21230826377868653,0.12139376103878022,0.11191150695085525,0.0416210550814867,0.3096094436943531,0.1182190164923668,0.0,0.1927810251712799,0.05116181522607803,0.1161989688873291,0.10713030397891998,0.07825425863265992,0.11500436067581177
flow_iat_min,0.1490400403738022,0.5308897793292999,0.04955588057637215,0.862247109413147,0.35528174638748167,0.8741372436285019,1.4859250783920288,0.43631795048713684,0.0,0.2902750067412853,0.2438380479812622,0.22141918838024138,2.834880256652832,0.5358983010053635,1.9503795385360718
fwd_iat_total,0.049289552867412566,0.015566148608922959,0.11312626227736473,0.07920495942234992,0.17343580424785615,0.21974823772907257,0.0862170934677124,0.16374918296933175,0.07543815523386002,0.10278573334217071,0.011760087520815431,0.0612586323171854,0.08239735141396523,0.10620130896568299,0.12091443389654159
fwd_iat_mean,0.048685920983552934,0.029329807683825492,0.039419886842370036,0.3593269646167755,0.09663576483726502,0.27564253807067873,0.08433242291212081,0.2840247392654419,0.0,0.16574701964855193,0.0038792498875409366,0.1423591136932373,0.0682170107960701,0.14679889678955077,0.049417422711849214
fwd_iat_std,0.030412622541189194,0.12632885873317717,0.425997918844223,0.1047134056687355,0.4894567787647247,0.030256174504756927,0.08238979578018188,0.12929524965584277,0.0,0.1843797117471695,0.013972661644220351,0.06636729910969734,0.1437870278954506,0.023675023345276713,0.20476224422454833
fwd_iat_max,0.03844049237668514,0.7374136686325073,0.05672241672873497,0.24266239106655121,0.0564364492893219,0.017294562049210073,0.08426412120461464,0.12467647045850754,0.0,0.04136962816119194,0.005809436226263643,0.14082808494567872,0.10282863229513169,0.02770014307461679,0.08600238338112831
fwd_iat_min,0.10835062116384506,0.18412161022424697,0.10459939241409302,0.2674694895744324,0.09771762490272522,0.4023535788059235,0.59936164021492,0.6834408283233643,0.0,0.48270767331123354,0.024586131051182746,0.22813881784677506,0.8023873090744018,0.6716356396675109,2.016191565990448
bwd_iat_total,0.019723105058073998,0.0945291981101036,0.01527760848402977,0.08000351432710887,0.009216402657330036,0.015557969361543656,0.07675012052059174,0.010812183632515371,0.09706180281937123,0.034215341322124004,0.001550435123499483,0.009420805145055056,0.03407398909330368,0.02291844638530165,0.003287281363736838
bwd_iat_mean,0.012627441994845867,0.1211959108710289,0.014509555324912072,0.5089375078678131,0.00645860368385911,0.04276935122907162,0.052253717184066774,0.016580537427216768,0.0,0.028530613519251347,0.0032979586627334355,0.010342496726661921,0.0038975365459918976,0.005337719270028174,0.009971583634614945
bwd_iat_std,0.00960975605994463,0.4886624217033386,0.0018796770018525422,0.21992247104644774,0.01023919964209199,0.5408708546310663,0.053868965804576875,0.28417294323444364,0.0,0.05665177218616009,0.0009111962281167507,0.021036206698045134,0.03203805610537529,0.061354372464120385,0.010667610354721547
bwd_iat_max,0.01630896460264921,0.05050345435738564,0.00899750916287303,0.2914215445518494,0.003950312756933272,0.11324542397633194,0.0363277830183506,0.05030928552150726,0.0,0.2793545663356781,0.0019413020694628359,0.018843205645680428,0.003814935532864183,0.04923869976773858,0.004484335845336318
bwd_iat_min,0.01666829697787762,1.3545116424560546,0.02245010230690241,0.02058984376490116,0.005812012357637286,0.10795095264911651,1.635560727119446,0.025985760800540447,0.0,0.43304434418678284,0.025351770222187042,0.09314437434077263,0.06007468774914741,0.3354077935218811,0.014012152515351772
fwd_psh_flags,0.0062784296460449696,0.0,0.0,0.0,0.00632947999984026,0.051045017689466475,1.4023118257522582,3.428331661224365,0.0,0.08570249043405057,0.0,0.017796969413757323,0.0,0.0,0.0
bwd_psh_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
